customer_id,company_name,industry,purchase_history,engagement_score,last_interaction_date,churn,total_spend,num_purchases,signup_date,recency_days,tenure_days,product_diversity,monetary,frequency,cluster,segment,churn_label,churn_prob
1,Weber Ltd,Healthcare,7723,26,2025-04-14,0,7723,0,2024-10-16,144,324,1,7723,0,2,at_risk,0,0.25
2,"Morales, Hernandez and Taylor",Retail,14456,96,2025-06-13,0,14456,0,2024-12-15,84,264,1,14456,0,0,high_value,0,0.42
3,Dean and Sons,IT,14445,51,2025-06-14,1,14445,0,2024-12-16,83,263,1,14445,0,0,high_value,1,0.71
4,Hood-Brock,Healthcare,19568,23,2025-07-17,1,19568,0,2025-01-18,50,230,1,19568,0,0,high_value,1,0.56
5,Schwartz Group,Manufacturing,3179,17,2025-08-11,1,3179,0,2025-02-12,25,205,1,3179,0,1,mid_value,1,0.88
6,"Montgomery, Smith and Bailey",Education,1167,23,2025-04-12,1,1167,0,2024-10-14,146,326,1,1167,0,2,at_risk,1,0.73
7,White Group,Healthcare,14178,92,2025-07-15,0,14178,0,2025-01-16,52,232,1,14178,0,0,high_value,0,0.22
8,"Johnson, Romero and Cortez",Education,9230,88,2025-05-05,0,9230,0,2024-11-06,123,303,1,9230,0,2,at_risk,0,0.35
9,Snow-Lewis,IT,3740,17,2025-06-26,0,3740,0,2024-12-28,71,251,1,3740,0,1,mid_value,0,0.23
10,"Nichols, Chang and Sullivan",Manufacturing,1445,72,2025-07-20,1,1445,0,2025-01-21,47,227,1,1445,0,1,mid_value,1,0.74
11,"Miller, Morrow and Harvey",IT,12080,57,2025-09-05,1,12080,0,2025-03-09,0,180,1,12080,0,0,high_value,1,0.82
12,"Hansen, Grimes and Glass",IT,7979,15,2025-04-29,1,7979,0,2024-10-31,129,309,1,7979,0,2,at_risk,1,0.56
13,Cameron-Drake,Retail,10175,93,2025-04-29,1,10175,0,2024-10-31,129,309,1,10175,0,2,at_risk,1,0.7
14,"Morton, Galloway and Joyce",Education,17909,17,2025-08-03,0,17909,0,2025-02-04,33,213,1,17909,0,0,high_value,0,0.25
15,Contreras-Ramirez,IT,17156,48,2025-06-25,0,17156,0,2024-12-27,72,252,1,17156,0,0,high_value,0,0.21
16,"Carter, James and Reid",Healthcare,8164,35,2025-03-19,0,8164,0,2024-09-20,170,350,1,8164,0,2,at_risk,0,0.22
17,Armstrong-Donovan,Manufacturing,2336,42,2025-06-09,1,2336,0,2024-12-11,88,268,1,2336,0,1,mid_value,1,0.64
18,Hancock-Davis,IT,14815,55,2025-04-06,1,14815,0,2024-10-08,152,332,1,14815,0,2,at_risk,1,0.86
19,Day LLC,Healthcare,17940,71,2025-06-06,1,17940,0,2024-12-08,91,271,1,17940,0,0,high_value,1,0.77
20,Thompson Group,Retail,4688,45,2025-06-22,0,4688,0,2024-12-24,75,255,1,4688,0,1,mid_value,0,0.22
21,Morales LLC,IT,14614,10,2025-07-22,0,14614,0,2025-01-23,45,225,1,14614,0,0,high_value,0,0.12
22,"Stewart, Stewart and Hernandez",Finance,8149,25,2025-08-21,0,8149,0,2025-02-22,15,195,1,8149,0,1,mid_value,0,0.11
23,King-Rush,Manufacturing,7644,80,2025-05-14,0,7644,0,2024-11-15,114,294,1,7644,0,2,at_risk,0,0.25
24,"Mccall, Kline and Vance",Manufacturing,9165,53,2025-03-07,0,9165,0,2024-09-08,182,362,1,9165,0,2,at_risk,0,0.37
25,"Perry, Woodard and Robles",Manufacturing,9740,65,2025-06-13,1,9740,0,2024-12-15,84,264,1,9740,0,1,mid_value,1,0.83
26,Lynn and Sons,Finance,4191,56,2025-07-03,1,4191,0,2025-01-04,64,244,1,4191,0,1,mid_value,1,0.76
27,Moore-Mejia,Retail,2503,58,2025-07-28,1,2503,0,2025-01-29,39,219,1,2503,0,1,mid_value,1,0.87
28,Moore-Price,Education,8697,86,2025-07-30,1,8697,0,2025-01-31,37,217,1,8697,0,1,mid_value,1,0.81
29,Thomas-Peterson,IT,3363,87,2025-06-25,1,3363,0,2024-12-27,72,252,1,3363,0,1,mid_value,1,0.69
30,Garcia-Shaw,Retail,5758,8,2025-04-19,0,5758,0,2024-10-21,139,319,1,5758,0,2,at_risk,0,0.26
31,Morrison-James,Manufacturing,5613,41,2025-08-21,0,5613,0,2025-02-22,15,195,1,5613,0,1,mid_value,0,0.42
32,Davis-Dalton,Manufacturing,10748,45,2025-07-25,0,10748,0,2025-01-26,42,222,1,10748,0,1,mid_value,0,0.24
33,Murillo and Sons,Education,11147,81,2025-06-04,0,11147,0,2024-12-06,93,273,1,11147,0,0,high_value,0,0.2
34,Price and Sons,Finance,13804,65,2025-06-20,1,13804,0,2024-12-22,77,257,1,13804,0,0,high_value,1,0.81
35,Hernandez Ltd,IT,12053,8,2025-06-11,0,12053,0,2024-12-13,86,266,1,12053,0,0,high_value,0,0.19
36,"Owen, Bowen and Marshall",Education,16452,10,2025-07-17,1,16452,0,2025-01-18,50,230,1,16452,0,0,high_value,1,0.84
37,Howard and Sons,Education,19288,64,2025-04-11,0,19288,0,2024-10-13,147,327,1,19288,0,2,at_risk,0,0.15
38,Nolan PLC,Retail,5119,74,2025-03-21,1,5119,0,2024-09-22,168,348,1,5119,0,2,at_risk,1,0.81
39,Robinson Ltd,Retail,7934,15,2025-03-30,0,7934,0,2024-10-01,159,339,1,7934,0,2,at_risk,0,0.29
40,Murray LLC,Education,16093,80,2025-04-25,1,16093,0,2024-10-27,133,313,1,16093,0,2,at_risk,1,0.8
41,Jones Ltd,Finance,18666,32,2025-06-14,1,18666,0,2024-12-16,83,263,1,18666,0,0,high_value,1,0.68
42,Eaton Ltd,IT,10457,59,2025-05-01,1,10457,0,2024-11-02,127,307,1,10457,0,2,at_risk,1,0.78
43,Harris-Carter,Retail,10348,10,2025-06-26,1,10348,0,2024-12-28,71,251,1,10348,0,0,high_value,1,0.82
44,Martin-Schmitt,Manufacturing,12867,34,2025-03-08,0,12867,0,2024-09-09,181,361,1,12867,0,2,at_risk,0,0.62
45,"Moore, Lynch and Harris",Manufacturing,11396,37,2025-03-23,1,11396,0,2024-09-24,166,346,1,11396,0,2,at_risk,1,0.73
46,Friedman Inc,IT,13003,30,2025-05-05,0,13003,0,2024-11-06,123,303,1,13003,0,2,at_risk,0,0.55
47,"Kirk, Evans and Ryan",Education,10598,85,2025-08-13,0,10598,0,2025-02-14,23,203,1,10598,0,1,mid_value,0,0.28
48,Garcia-Jones,Healthcare,4949,41,2025-09-03,1,4949,0,2025-03-07,2,182,1,4949,0,1,mid_value,1,0.81
49,Crosby and Sons,Healthcare,9558,85,2025-06-06,0,9558,0,2024-12-08,91,271,1,9558,0,1,mid_value,0,0.23
50,Hart-Bennett,IT,4895,57,2025-07-14,1,4895,0,2025-01-15,53,233,1,4895,0,1,mid_value,1,0.74
51,"Johnson, Pierce and Brown",Retail,10524,35,2025-07-01,1,10524,0,2025-01-02,66,246,1,10524,0,0,high_value,1,0.72
52,"Schroeder, Anderson and Davis",Education,17127,50,2025-06-13,1,17127,0,2024-12-15,84,264,1,17127,0,0,high_value,1,0.74
53,Franco-Stevens,Retail,1296,27,2025-08-29,0,1296,0,2025-03-02,7,187,1,1296,0,1,mid_value,0,0.25
54,Anderson-West,IT,4584,7,2025-03-11,1,4584,0,2024-09-12,178,358,1,4584,0,2,at_risk,1,0.78
55,Rodriguez-Miller,Education,18908,77,2025-05-18,1,18908,0,2024-11-19,110,290,1,18908,0,0,high_value,1,0.89
56,Moore LLC,Education,7926,34,2025-08-26,0,7926,0,2025-02-27,10,190,1,7926,0,1,mid_value,0,0.37
57,"Fitzgerald, Patterson and Henderson",IT,1269,10,2025-05-09,0,1269,0,2024-11-10,119,299,1,1269,0,2,at_risk,0,0.18
58,Sampson Inc,Finance,14994,29,2025-06-14,0,14994,0,2024-12-16,83,263,1,14994,0,0,high_value,0,0.19
59,"Taylor, Chapman and Shah",IT,7137,38,2025-04-10,0,7137,0,2024-10-12,148,328,1,7137,0,2,at_risk,0,0.22
60,Robles Inc,Healthcare,10718,98,2025-06-07,0,10718,0,2024-12-09,90,270,1,10718,0,0,high_value,0,0.21
61,Wilson LLC,IT,19561,64,2025-04-07,1,19561,0,2024-10-09,151,331,1,19561,0,2,at_risk,1,0.8
62,"Romero, Wilson and Patrick",Healthcare,17769,88,2025-08-07,0,17769,0,2025-02-08,29,209,1,17769,0,0,high_value,0,0.26
63,Rogers-Wilkinson,IT,16627,1,2025-08-25,0,16627,0,2025-02-26,11,191,1,16627,0,0,high_value,0,0.27
64,Douglas-Mcneil,Retail,15039,83,2025-07-21,1,15039,0,2025-01-22,46,226,1,15039,0,0,high_value,1,0.79
65,Brown Inc,Education,16053,72,2025-06-26,0,16053,0,2024-12-28,71,251,1,16053,0,0,high_value,0,0.15
66,Barker PLC,Retail,2963,82,2025-07-09,1,2963,0,2025-01-10,58,238,1,2963,0,1,mid_value,1,0.7
67,"Goodwin, Hughes and Johnson",Finance,6484,14,2025-05-01,1,6484,0,2024-11-02,127,307,1,6484,0,2,at_risk,1,0.68
68,Hoffman LLC,Retail,4942,78,2025-06-01,0,4942,0,2024-12-03,96,276,1,4942,0,1,mid_value,0,0.23
69,"Wilson, Johnson and Jones",Manufacturing,15589,24,2025-07-07,0,15589,0,2025-01-08,60,240,1,15589,0,0,high_value,0,0.25
70,Hernandez-Owen,Retail,18606,81,2025-06-15,0,18606,0,2024-12-17,82,262,1,18606,0,0,high_value,0,0.2
71,Garcia-Schmidt,IT,18276,39,2025-04-21,1,18276,0,2024-10-23,137,317,1,18276,0,2,at_risk,1,0.87
72,Campbell Group,Education,10163,70,2025-04-20,0,10163,0,2024-10-22,138,318,1,10163,0,2,at_risk,0,0.15
73,"Goodwin, Mitchell and Carter",Finance,8539,40,2025-06-15,1,8539,0,2024-12-17,82,262,1,8539,0,1,mid_value,1,0.9
74,Austin and Sons,Healthcare,14940,86,2025-07-03,0,14940,0,2025-01-04,64,244,1,14940,0,0,high_value,0,0.73
75,"Baker, Graham and Patel",Education,6791,62,2025-07-03,1,6791,0,2025-01-04,64,244,1,6791,0,1,mid_value,1,0.36
76,"Austin, Frye and Wade",Manufacturing,10553,60,2025-03-24,1,10553,0,2024-09-25,165,345,1,10553,0,2,at_risk,1,0.82
77,Williams-Estes,Healthcare,1005,18,2025-09-05,1,1005,0,2025-03-09,0,180,1,1005,0,1,mid_value,1,0.2
78,"Ellis, King and Rodriguez",IT,4715,25,2025-05-19,0,4715,0,2024-11-20,109,289,1,4715,0,2,at_risk,0,0.26
79,Grant-Bailey,Education,6463,87,2025-08-05,0,6463,0,2025-02-06,31,211,1,6463,0,1,mid_value,0,0.16
80,"Morris, Wise and Walker",IT,19160,30,2025-06-07,0,19160,0,2024-12-09,90,270,1,19160,0,0,high_value,0,0.07
81,Evans-Williams,Retail,3397,10,2025-04-17,1,3397,0,2024-10-19,141,321,1,3397,0,2,at_risk,1,0.75
82,"Sanchez, Rogers and Nelson",Manufacturing,13026,11,2025-08-23,0,13026,0,2025-02-24,13,193,1,13026,0,0,high_value,0,0.13
83,"Owens, Carter and Carney",Retail,16331,20,2025-04-05,1,16331,0,2024-10-07,153,333,1,16331,0,2,at_risk,1,0.94
84,"Tran, Torres and Wright",Retail,3364,66,2025-05-29,1,3364,0,2024-11-30,99,279,1,3364,0,1,mid_value,1,0.47
85,Petersen Ltd,Finance,2680,8,2025-05-21,0,2680,0,2024-11-22,107,287,1,2680,0,1,mid_value,0,0.21
86,"Gross, Reeves and Keith",Education,18402,36,2025-05-11,1,18402,0,2024-11-12,117,297,1,18402,0,0,high_value,1,0.93
87,Green LLC,Finance,4215,41,2025-06-02,1,4215,0,2024-12-04,95,275,1,4215,0,1,mid_value,1,0.92
88,Miller-Jones,IT,3471,97,2025-05-04,1,3471,0,2024-11-05,124,304,1,3471,0,2,at_risk,1,0.79
89,"Pugh, Alexander and Bell",Healthcare,3228,34,2025-06-22,1,3228,0,2024-12-24,75,255,1,3228,0,1,mid_value,1,0.77
90,Davis LLC,Finance,17547,51,2025-03-11,1,17547,0,2024-09-12,178,358,1,17547,0,2,at_risk,1,0.83
91,"White, Brown and Pennington",IT,12173,26,2025-05-20,0,12173,0,2024-11-21,108,288,1,12173,0,2,at_risk,0,0.13
92,Davis LLC,Retail,7009,66,2025-07-01,0,7009,0,2025-01-02,66,246,1,7009,0,1,mid_value,0,0.08
93,Moss-Hood,Manufacturing,12394,16,2025-06-23,1,12394,0,2024-12-25,74,254,1,12394,0,0,high_value,1,0.6
94,"Cox, Solis and Vargas",Retail,4076,2,2025-07-11,0,4076,0,2025-01-12,56,236,1,4076,0,1,mid_value,0,0.25
95,"Manning, Bautista and Marshall",Finance,10805,58,2025-08-17,1,10805,0,2025-02-18,19,199,1,10805,0,1,mid_value,1,0.7
96,Ball Group,Finance,6610,94,2025-04-09,0,6610,0,2024-10-11,149,329,1,6610,0,2,at_risk,0,0.13
97,"Joseph, Walls and Robbins",IT,3411,83,2025-07-13,1,3411,0,2025-01-14,54,234,1,3411,0,1,mid_value,1,0.94
98,"Shepard, Wilson and Hays",Education,7123,17,2025-08-01,1,7123,0,2025-02-02,35,215,1,7123,0,1,mid_value,1,0.7
99,"Flores, Mitchell and Perez",Retail,7458,38,2025-08-26,1,7458,0,2025-02-27,10,190,1,7458,0,1,mid_value,1,0.76
100,Harding Group,Manufacturing,1088,34,2025-05-11,0,1088,0,2024-11-12,117,297,1,1088,0,2,at_risk,0,0.16
101,Price LLC,Healthcare,17195,39,2025-08-22,1,17195,0,2025-02-23,14,194,1,17195,0,0,high_value,1,0.93
102,Aguilar-Walker,Finance,3484,20,2025-04-03,0,3484,0,2024-10-05,155,335,1,3484,0,2,at_risk,0,0.51
103,"Vargas, Stewart and Fields",Finance,6278,96,2025-04-23,0,6278,0,2024-10-25,135,315,1,6278,0,2,at_risk,0,0.1
104,"Lee, Guerrero and White",Finance,3493,55,2025-03-26,1,3493,0,2024-09-27,163,343,1,3493,0,2,at_risk,1,0.55
105,Jackson-Hunter,Manufacturing,4044,97,2025-05-25,0,4044,0,2024-11-26,103,283,1,4044,0,1,mid_value,0,0.7
106,Rodriguez-Gilbert,Healthcare,5489,27,2025-08-24,1,5489,0,2025-02-25,12,192,1,5489,0,1,mid_value,1,0.7
107,Ballard Ltd,Education,12541,90,2025-05-25,1,12541,0,2024-11-26,103,283,1,12541,0,2,at_risk,1,0.83
108,Little LLC,Manufacturing,8699,12,2025-07-04,1,8699,0,2025-01-05,63,243,1,8699,0,1,mid_value,1,0.77
109,Guerrero Ltd,Manufacturing,13678,96,2025-06-24,1,13678,0,2024-12-26,73,253,1,13678,0,0,high_value,1,0.71
110,Brennan PLC,Healthcare,13491,23,2025-05-08,1,13491,0,2024-11-09,120,300,1,13491,0,2,at_risk,1,0.79
111,Booth-Lowe,Education,15144,13,2025-03-09,0,15144,0,2024-09-10,180,360,1,15144,0,2,at_risk,0,0.35
112,Delacruz-Brennan,Healthcare,1822,84,2025-06-09,0,1822,0,2024-12-11,88,268,1,1822,0,1,mid_value,0,0.5
113,"Krueger, Miller and Tucker",Finance,14020,21,2025-07-23,0,14020,0,2025-01-24,44,224,1,14020,0,0,high_value,0,0.13
114,Jones-Reynolds,IT,5812,75,2025-06-09,0,5812,0,2024-12-11,88,268,1,5812,0,1,mid_value,0,0.41
115,Kramer Group,Retail,2167,67,2025-09-05,0,2167,0,2025-03-09,0,180,1,2167,0,1,mid_value,0,0.16
116,"Flores, Russo and Mendoza",IT,11214,57,2025-03-25,0,11214,0,2024-09-26,164,344,1,11214,0,2,at_risk,0,0.32
117,Doyle-Savage,Manufacturing,18744,44,2025-07-04,1,18744,0,2025-01-05,63,243,1,18744,0,0,high_value,1,0.51
118,Barnes-Silva,Healthcare,2506,87,2025-08-07,0,2506,0,2025-02-08,29,209,1,2506,0,1,mid_value,0,0.33
119,Taylor-Avila,Education,15808,31,2025-07-27,0,15808,0,2025-01-28,40,220,1,15808,0,0,high_value,0,0.4
120,Olson-Contreras,IT,5365,9,2025-05-28,1,5365,0,2024-11-29,100,280,1,5365,0,1,mid_value,1,0.91
121,Ramos-Perez,IT,5714,82,2025-06-15,0,5714,0,2024-12-17,82,262,1,5714,0,1,mid_value,0,0.14
122,"Benton, Hernandez and Hill",IT,5504,68,2025-05-17,0,5504,0,2024-11-18,111,291,1,5504,0,2,at_risk,0,0.21
123,Smith Inc,Education,17142,69,2025-08-12,0,17142,0,2025-02-13,24,204,1,17142,0,0,high_value,0,0.24
124,Collins Group,Education,9921,84,2025-03-23,1,9921,0,2024-09-24,166,346,1,9921,0,2,at_risk,1,0.73
125,"Huynh, Holmes and Monroe",Retail,14331,58,2025-06-13,0,14331,0,2024-12-15,84,264,1,14331,0,0,high_value,0,0.23
126,Huber Group,Education,18689,55,2025-06-19,1,18689,0,2024-12-21,78,258,1,18689,0,0,high_value,1,0.73
127,"Stanton, Watkins and Riley",Education,19066,70,2025-06-24,0,19066,0,2024-12-26,73,253,1,19066,0,0,high_value,0,0.11
128,"Tate, Harper and Coleman",Retail,1630,81,2025-05-27,1,1630,0,2024-11-28,101,281,1,1630,0,1,mid_value,1,0.7
129,Moore-Alvarado,Manufacturing,12632,97,2025-04-11,0,12632,0,2024-10-13,147,327,1,12632,0,2,at_risk,0,0.06
130,Soto PLC,Healthcare,1800,78,2025-07-25,0,1800,0,2025-01-26,42,222,1,1800,0,1,mid_value,0,0.22
131,"Alvarez, Stevens and Jackson",Education,15475,25,2025-05-06,1,15475,0,2024-11-07,122,302,1,15475,0,2,at_risk,1,0.91
132,"Holder, Clark and Cox",Healthcare,12948,91,2025-07-14,1,12948,0,2025-01-15,53,233,1,12948,0,0,high_value,1,0.82
133,Johnson-Shaw,Education,10221,20,2025-09-02,1,10221,0,2025-03-06,3,183,1,10221,0,1,mid_value,1,0.84
134,Phillips and Sons,Finance,2770,44,2025-06-28,0,2770,0,2024-12-30,69,249,1,2770,0,1,mid_value,0,0.15
135,"Clayton, Zimmerman and Davis",IT,16378,50,2025-06-17,0,16378,0,2024-12-19,80,260,1,16378,0,0,high_value,0,0.24
136,"Alexander, Brown and Tucker",Healthcare,18889,4,2025-03-15,1,18889,0,2024-09-16,174,354,1,18889,0,2,at_risk,1,0.9
137,Ramirez LLC,Manufacturing,10777,89,2025-09-04,1,10777,0,2025-03-08,1,181,1,10777,0,1,mid_value,1,0.86
138,Snyder Group,IT,5426,57,2025-06-09,1,5426,0,2024-12-11,88,268,1,5426,0,1,mid_value,1,0.72
139,Williams and Sons,Education,18725,14,2025-06-25,1,18725,0,2024-12-27,72,252,1,18725,0,0,high_value,1,0.75
140,"Williamson, Boyd and Hamilton",Healthcare,8443,28,2025-07-20,0,8443,0,2025-01-21,47,227,1,8443,0,1,mid_value,0,0.18
141,Delgado-Tate,IT,12287,0,2025-08-26,0,12287,0,2025-02-27,10,190,1,12287,0,0,high_value,0,0.13
142,"Espinoza, Hamilton and Edwards",Finance,3605,0,2025-06-23,1,3605,0,2024-12-25,74,254,1,3605,0,1,mid_value,1,0.8
143,Jennings-Sherman,Healthcare,1817,42,2025-07-12,0,1817,0,2025-01-13,55,235,1,1817,0,1,mid_value,0,0.32
144,Powell-Moore,Education,13245,37,2025-06-28,1,13245,0,2024-12-30,69,249,1,13245,0,0,high_value,1,0.85
145,Brown-Avila,Retail,17684,54,2025-03-12,1,17684,0,2024-09-13,177,357,1,17684,0,2,at_risk,1,0.89
146,"Baker, Short and Hall",Finance,1939,94,2025-07-27,0,1939,0,2025-01-28,40,220,1,1939,0,1,mid_value,0,0.35
147,White-Hunt,Finance,5810,22,2025-08-20,0,5810,0,2025-02-21,16,196,1,5810,0,1,mid_value,0,0.12
148,Burnett-Mayo,Finance,11975,68,2025-07-22,1,11975,0,2025-01-23,45,225,1,11975,0,0,high_value,1,0.35
149,Russell Inc,IT,3549,42,2025-04-12,1,3549,0,2024-10-14,146,326,1,3549,0,2,at_risk,1,0.79
150,"Mills, Barnes and Herring",Healthcare,18947,58,2025-07-13,0,18947,0,2025-01-14,54,234,1,18947,0,0,high_value,0,0.16
151,"Dunn, White and Hunter",Healthcare,4903,22,2025-07-25,1,4903,0,2025-01-26,42,222,1,4903,0,1,mid_value,1,0.75
152,Shaw-Blake,IT,5428,0,2025-08-29,0,5428,0,2025-03-02,7,187,1,5428,0,1,mid_value,0,0.39
153,"Hernandez, Adams and Davidson",Manufacturing,3252,94,2025-06-27,0,3252,0,2024-12-29,70,250,1,3252,0,1,mid_value,0,0.18
154,James Group,IT,3883,37,2025-08-02,1,3883,0,2025-02-03,34,214,1,3883,0,1,mid_value,1,0.93
155,Torres Ltd,Healthcare,16533,42,2025-07-30,1,16533,0,2025-01-31,37,217,1,16533,0,0,high_value,1,0.88
156,"Williams, Young and Ibarra",IT,2095,29,2025-04-28,0,2095,0,2024-10-30,130,310,1,2095,0,2,at_risk,0,0.06
157,Bowman Ltd,IT,13101,0,2025-05-24,0,13101,0,2024-11-25,104,284,1,13101,0,0,high_value,0,0.17
158,Boone-Hansen,Finance,9820,80,2025-05-07,1,9820,0,2024-11-08,121,301,1,9820,0,2,at_risk,1,0.82
159,White-Baker,Healthcare,4566,100,2025-06-19,1,4566,0,2024-12-21,78,258,1,4566,0,1,mid_value,1,0.76
160,Garcia-Mills,IT,3262,18,2025-07-23,0,3262,0,2025-01-24,44,224,1,3262,0,1,mid_value,0,0.27
161,Warren-Garcia,Finance,2812,100,2025-06-26,0,2812,0,2024-12-28,71,251,1,2812,0,1,mid_value,0,0.18
162,Lopez and Sons,Education,10402,47,2025-08-20,1,10402,0,2025-02-21,16,196,1,10402,0,1,mid_value,1,0.29
163,"Nelson, Marshall and Mendoza",IT,13310,10,2025-03-22,1,13310,0,2024-09-23,167,347,1,13310,0,2,at_risk,1,0.73
164,Medina LLC,Finance,11382,71,2025-08-19,1,11382,0,2025-02-20,17,197,1,11382,0,1,mid_value,1,0.24
165,"Bray, Miller and Torres",Finance,1163,98,2025-06-19,0,1163,0,2024-12-21,78,258,1,1163,0,1,mid_value,0,0.2
166,Smith-Jones,Retail,7800,30,2025-05-18,1,7800,0,2024-11-19,110,290,1,7800,0,2,at_risk,1,0.72
